date,game_id,team,before_rank,before,after,change,opponent,opponent_before,result,my_score,opponent_score,tournament,importance,expected
2022-06-10 10:00:00,99102,Puerto Rico,16,1362.68,1361.73,-0.95,Panama,1410.29,L,11,12,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4545
2022-06-10 10:00:00,99102,Panama,13,1410.29,1411.24,0.95,Puerto Rico,1362.68,W,12,11,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5455
2022-06-10 10:00:00,99570,Puerto Rico,16,1361.73,1362.2,0.47,Guatemala,656.0,W,11,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.9375
2022-06-10 10:00:00,99570,Guatemala,65,656.0,655.53,-0.47,Puerto Rico,1361.73,L,0,11,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.0625
2022-06-10 12:00:00,99572,Cuba,9,1475.37,1477.21,1.85,Argentina,1184.0,W,11,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.7536
2022-06-10 12:00:00,99572,Argentina,27,1184.0,1182.15,-1.85,Cuba,1475.37,L,0,11,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.2464
2022-06-10 13:00:00,99101,Cuba,9,1477.21,1475.93,-1.28,Venezuela,1504.47,L,0,7,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4739
2022-06-10 13:00:00,99101,Venezuela,7,1504.47,1505.75,1.28,Cuba,1477.21,W,7,0,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5261
2022-06-10 13:30:00,99571,Nicaragua,15,1376.0,1373.47,-2.53,Mexico,1552.0,L,0,11,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3373
2022-06-10 13:30:00,99571,Mexico,4,1552.0,1554.53,2.53,Nicaragua,1376.0,W,11,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6627
2022-06-11 10:00:00,99103,Colombia,11,1435.99,1437.2,1.21,Dominican Republic,1515.2,W,10,9,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4246
2022-06-11 10:00:00,99103,Dominican Republic,6,1515.2,1514.0,-1.21,Colombia,1435.99,L,9,10,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5754
2022-06-11 10:00:00,99573,Cuba,9,1475.93,1478.84,2.91,Venezuela,1505.75,W,3,1,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.4714
2022-06-11 10:00:00,99573,Venezuela,7,1505.75,1502.84,-2.91,Cuba,1475.93,L,1,3,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.5286
2022-06-11 12:00:00,99606,Guatemala,65,655.53,655.08,-0.45,Nicaragua,1373.47,L,0,15,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.0598
2022-06-11 12:00:00,99606,Nicaragua,15,1373.47,1373.92,0.45,Guatemala,655.53,W,15,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.9402
2022-06-11 13:00:00,99104,Cuba,9,1478.84,1480.01,1.17,Puerto Rico,1362.2,W,11,1,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.6101
2022-06-11 13:00:00,99104,Puerto Rico,16,1362.2,1361.03,-1.17,Cuba,1478.84,L,1,11,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.3899
2022-06-11 13:00:00,99574,Argentina,27,1182.15,1180.7,-1.45,Mexico,1554.53,L,3,18,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.1932
2022-06-11 13:00:00,99574,Mexico,4,1554.53,1555.98,1.45,Argentina,1182.15,W,18,3,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.8068
2022-06-12 10:00:00,99613,Puerto Rico,16,1361.03,1358.7,-2.33,Cuba,1480.01,L,2,6,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3878
2022-06-12 10:00:00,99613,Cuba,9,1480.01,1482.34,2.33,Puerto Rico,1361.03,W,6,2,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6122
2022-06-12 12:00:00,99615,Venezuela,7,1502.84,1504.3,1.46,Argentina,1180.7,W,12,6,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.7749
2022-06-12 12:00:00,99615,Argentina,27,1180.7,1179.24,-1.46,Venezuela,1502.84,L,6,12,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.2251
2022-06-12 13:00:00,99105,Panama,13,1411.24,1410.29,-0.95,Venezuela,1504.3,L,2,5,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4117
2022-06-12 13:00:00,99105,Venezuela,7,1504.3,1505.25,0.95,Panama,1411.24,W,5,2,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5883
2022-06-12 13:30:00,99614,Mexico,4,1555.98,1556.21,0.23,Guatemala,655.08,W,21,1,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.9694
2022-06-12 13:30:00,99614,Guatemala,65,655.08,654.85,-0.23,Mexico,1555.98,L,1,21,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.0306
2022-06-13 11:00:00,99616,Venezuela,7,1505.25,1501.87,-3.38,Mexico,1556.21,L,0,14,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.4513
2022-06-13 11:00:00,99616,Mexico,4,1556.21,1559.59,3.38,Venezuela,1505.25,W,14,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.5487
2022-06-13 12:00:00,99617,Argentina,27,1179.24,1176.73,-2.51,Puerto Rico,1358.7,L,1,12,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3343
2022-06-13 12:00:00,99617,Puerto Rico,16,1358.7,1361.21,2.51,Argentina,1179.24,W,12,1,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6657
2022-06-13 14:30:00,99618,Cuba,9,1482.34,1479.02,-3.31,Nicaragua,1373.92,L,1,3,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6025
2022-06-13 14:30:00,99618,Nicaragua,15,1373.92,1377.23,3.31,Cuba,1482.34,W,3,1,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3975
2022-06-14 09:00:00,99619,Nicaragua,15,1377.23,1379.21,1.98,Argentina,1176.73,W,5,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6834
2022-06-14 09:00:00,99619,Argentina,27,1176.73,1174.75,-1.98,Nicaragua,1377.23,L,0,5,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3166
2022-06-14 12:00:00,99620,Guatemala,65,654.85,654.57,-0.28,Cuba,1479.02,L,2,10,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.0406
2022-06-14 12:00:00,99620,Cuba,9,1479.02,1479.31,0.28,Guatemala,654.85,W,10,2,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.9594
2022-06-14 12:30:00,99621,Puerto Rico,16,1361.21,1359.09,-2.12,Venezuela,1501.87,L,3,6,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3682
2022-06-14 12:30:00,99621,Venezuela,7,1501.87,1503.98,2.12,Puerto Rico,1361.21,W,6,3,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6318
2022-06-15 09:00:00,99622,Venezuela,7,1503.98,1500.74,-3.24,Nicaragua,1379.21,L,0,1,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6175
2022-06-15 09:00:00,99622,Nicaragua,15,1379.21,1382.45,3.24,Venezuela,1503.98,W,1,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3825
2022-06-15 12:00:00,99623,Argentina,27,1174.75,1175.65,0.9,Guatemala,654.57,W,17,3,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.8804
2022-06-15 12:00:00,99623,Guatemala,65,654.57,653.67,-0.9,Argentina,1174.75,L,3,17,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.1196
2022-06-15 12:30:00,99661,Mexico,4,1559.59,1561.25,1.66,Puerto Rico,1359.09,W,2,1,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6834
2022-06-15 12:30:00,99661,Puerto Rico,16,1359.09,1357.43,-1.66,Mexico,1559.59,L,1,2,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3166
2022-06-16 09:00:00,99662,Guatemala,65,653.67,653.43,-0.24,Venezuela,1500.74,L,0,6,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.0373
2022-06-16 09:00:00,99662,Venezuela,7,1500.74,1500.98,0.24,Guatemala,653.67,W,6,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.9627
2022-06-16 12:00:00,99663,Nicaragua,15,1382.45,1378.79,-3.67,Puerto Rico,1357.43,L,2,10,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.524
2022-06-16 12:00:00,99663,Puerto Rico,16,1357.43,1361.1,3.67,Nicaragua,1382.45,W,10,2,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.476
2022-06-16 12:30:00,99664,Mexico,4,1561.25,1563.68,2.43,Cuba,1479.31,W,3,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.578
2022-06-16 12:30:00,99664,Cuba,9,1479.31,1476.88,-2.43,Mexico,1561.25,L,0,3,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.422
2022-06-18 10:00:00,99665,Nicaragua,15,1378.79,1376.65,-2.14,Cuba,1476.88,L,5,6,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.407
2022-06-18 10:00:00,99665,Cuba,9,1476.88,1479.02,2.14,Nicaragua,1378.79,W,6,5,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.593
2022-06-18 10:00:00,99667,Puerto Rico,16,1361.1,1363.32,2.22,Argentina,1175.65,W,7,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6708
2022-06-18 10:00:00,99667,Argentina,27,1175.65,1173.43,-2.22,Puerto Rico,1361.1,L,0,7,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3292
2022-06-18 13:30:00,99666,Mexico,4,1563.68,1566.43,2.75,Venezuela,1500.98,W,5,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.5599
2022-06-18 13:30:00,99666,Venezuela,7,1500.98,1498.23,-2.75,Mexico,1563.68,L,0,5,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.4401
2022-06-19 10:00:00,99668,Venezuela,7,1498.23,1495.01,-3.23,Nicaragua,1376.65,L,3,4,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.6146
2022-06-19 10:00:00,99668,Nicaragua,15,1376.65,1379.88,3.23,Venezuela,1498.23,W,4,3,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.3854
2022-06-19 13:30:00,99669,Cuba,9,1479.02,1476.52,-2.5,Mexico,1566.43,L,0,4,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.4169
2022-06-19 13:30:00,99669,Mexico,4,1566.43,1568.93,2.5,Cuba,1479.02,W,4,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.5831
2022-06-29 19:00:00,100191,Peru,42,944.0,942.69,-1.31,Dominican Republic,1514.0,L,0,6,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.1009
2022-06-29 19:00:00,100191,Dominican Republic,6,1514.0,1515.31,1.31,Peru,944.0,W,6,0,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.8991
2022-06-30 14:00:00,100192,Dominican Republic,6,1515.31,1508.29,-7.01,Venezuela,1495.01,L,2,9,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.5195
2022-06-30 14:00:00,100192,Venezuela,7,1495.01,1502.02,7.01,Dominican Republic,1515.31,W,9,2,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.4805
2022-06-30 19:00:00,100188,Colombia,11,1437.2,1439.03,1.83,Peru,942.69,W,8,0,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.8696
2022-06-30 19:00:00,100188,Peru,42,942.69,940.86,-1.83,Colombia,1437.2,L,0,8,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.1304
2022-07-01 14:00:00,100189,Peru,42,940.86,950.27,9.41,Venezuela,1502.02,W,5,4,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.104
