tournament,date,home,away,home_score,away_score,home_hits,away_hits,home_errors,away_errors,stadium,location,duration,game_id
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 10:30:00,Panama,United States of America,0,9,6,11,0,2,Okinawa Cellular Stadium NAHA,Okinawa,2:30,173027
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 10:30:00,Australia,Germany,4,5,5,10,1,2,Nishizaki Stadium,Itoman City,2:23,173031
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 14:30:00,Korea,Puerto Rico,5,2,9,2,0,1,Okinawa Cellular Stadium NAHA,Okinawa,2:31,173030
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 14:30:00,South Africa,Cuba,0,10,1,6,7,0,Nishizaki Stadium,Itoman City,1:45,173032
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 18:30:00,Japan,Italy,4,1,5,4,1,2,Okinawa Cellular Stadium NAHA,Okinawa,2:07,173033
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 18:30:00,Chinese Taipei,China,7,0,6,2,1,2,Nishizaki Stadium,Itoman City,2:13,173034
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 10:30:00,Panama,Australia,1,4,7,8,1,0,Okinawa Cellular Stadium NAHA,Okinawa,2:17,173035
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 10:30:00,Puerto Rico,South Africa,9,1,7,2,1,1,Nishizaki Stadium,Itoman City,2:25,173036
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 14:30:00,Cuba,Italy,8,0,13,3,1,3,Okinawa Cellular Stadium NAHA,Okinawa,2:10,173037
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 14:30:00,China,Germany,3,9,1,6,4,1,Nishizaki Stadium,Itoman City,2:28,173038
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 18:30:00,Japan,Korea,4,2,7,5,0,1,Okinawa Cellular Stadium NAHA,Okinawa,2:11,173039
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 18:30:00,United States of America,Chinese Taipei,4,0,4,0,0,2,Nishizaki Stadium,Itoman City,2:10,173040
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 10:30:00,Italy,Puerto Rico,2,6,3,4,1,1,Okinawa Cellular Stadium NAHA,Okinawa,2:35,173041
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 10:30:00,Australia,China,15,3,13,2,3,2,Nishizaki Stadium,Itoman City,2:06,173042
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 14:00:00,Cuba,Japan,0,3,2,9,2,0,Okinawa Cellular Stadium NAHA,Okinawa,2:07,173043
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 14:30:00,Germany,United States of America,3,9,4,10,2,2,Nishizaki Stadium,Itoman City,2:19,173044
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 18:30:00,South Africa,Korea,0,0,1,7,2,0,Okinawa Cellular Stadium NAHA,Okinawa,,173045
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 18:30:00,Chinese Taipei,Panama,2,1,4,6,0,0,Nishizaki Stadium,Itoman City,2:11,173046
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-08 10:30:00,United States of America,China,10,0,13,1,0,2,Okinawa Cellular Stadium NAHA,Okinawa,1:34,173047
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-08 10:30:00,Puerto Rico,Cuba,1,0,2,2,1,1,Nishizaki Stadium,Itoman City,2:01,173048
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-08 14:30:00,Chinese Taipei,Australia,10,2,5,10,2,3,Okinawa Cellular Stadium NAHA,Okinawa,2:12,173052
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-08 14:30:00,Panama,Germany,14,0,11,0,2,7,Nishizaki Stadium,Itoman City,1:50,173049
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-08 18:30:00,Japan,South Africa,10,0,7,4,0,0,Okinawa Cellular Stadium NAHA,Okinawa,1:32,173050
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-08 18:30:00,Korea,Italy,8,0,5,0,0,4,Nishizaki Stadium,Itoman City,1:54,173051
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-09 10:30:00,United States of America,Australia,11,1,7,2,0,5,Okinawa Cellular Stadium NAHA,Okinawa,2:04,173053
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-09 10:30:00,China,Panama,5,12,11,13,2,2,Nishizaki Stadium,Itoman City,2:33,173054
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-09 14:30:00,Korea,Cuba,3,0,5,1,1,3,Okinawa Cellular Stadium NAHA,Okinawa,1:48,173055
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-09 14:30:00,Italy,South Africa,5,4,6,4,2,3,Nishizaki Stadium,Itoman City,2:03,173058
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-09 18:30:00,Puerto Rico,Japan,0,3,4,5,2,1,Okinawa Cellular Stadium NAHA,Okinawa,2:08,173056
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-09 18:30:00,Germany,Chinese Taipei,4,8,5,10,3,1,Nishizaki Stadium,Itoman City,2:18,173057
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-10 10:00:00,South Africa,Korea,0,17,1,9,2,0,Okinawa Cellular Stadium NAHA,Okinawa,1:41,177974
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-11 10:30:00,South Africa,China,3,11,6,7,4,0,Nishizaki Stadium,Itoman City,2:11,173059
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-11 10:30:00,Panama,Puerto Rico,1,3,3,4,4,1,Okinawa Cellular Stadium NAHA,Okinawa,2:23,173060
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-11 14:30:00,Italy,Germany,4,2,4,4,1,2,Nishizaki Stadium,Itoman City,1:52,173061
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-11 14:30:00,Cuba,Australia,2,1,6,5,1,1,Okinawa Cellular Stadium NAHA,Okinawa,2:31,173063
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-11 18:30:00,Korea,Chinese Taipei,8,1,8,4,0,3,Nishizaki Stadium,Itoman City,2:38,173062
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-11 18:30:00,United States of America,Japan,2,6,3,5,5,1,Okinawa Cellular Stadium NAHA,Okinawa,2:40,173064
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-12 10:30:00,Italy,China,6,3,5,7,0,0,Nishizaki Stadium,Itoman City,2:18,173065
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-12 10:30:00,Cuba,Germany,4,3,6,8,3,0,Okinawa Cellular Stadium NAHA,Okinawa,2:07,173069
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-12 14:30:00,Australia,South Africa,13,2,11,4,1,5,Nishizaki Stadium,Itoman City,1:38,173067
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-12 14:30:00,Chinese Taipei,Puerto Rico,1,0,2,2,0,1,Okinawa Cellular Stadium NAHA,Okinawa,2:12,173066
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-12 18:30:00,United States of America,Korea,1,0,7,2,0,1,Nishizaki Stadium,Itoman City,1:43,173068
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-12 18:30:00,Japan,Panama,6,5,10,2,0,0,Okinawa Cellular Stadium NAHA,Okinawa,2:35,173070
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-13 10:30:00,Germany,South Africa,4,6,10,7,1,1,Nishizaki Stadium,Itoman City,2:10,173071
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-13 10:30:00,Australia,Italy,12,3,13,6,2,4,Okinawa Cellular Stadium NAHA,Okinawa,2:18,173075
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-13 14:30:00,Cuba,China,10,0,11,2,0,3,Nishizaki Stadium,Itoman City,1:59,173073
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-13 14:30:00,United States of America,Puerto Rico,7,0,13,2,0,1,Okinawa Cellular Stadium NAHA,Okinawa,2:00,173072
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-13 18:30:00,Korea,Panama,9,0,5,3,0,4,Nishizaki Stadium,Itoman City,2:15,173074
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-13 18:30:00,Japan,Chinese Taipei,9,1,11,7,2,2,Okinawa Cellular Stadium NAHA,Okinawa,2:02,173076
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-14 11:00:00,Korea,Chinese Taipei,2,3,6,8,1,1,Okinawa Cellular Stadium NAHA,Okinawa,2:25,173077
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-14 16:00:00,Japan,United States of America,0,2,3,5,0,1,Okinawa Cellular Stadium NAHA,Okinawa,1:47,173078
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 10:30:00,Mexico,Australia,10,0,12,0,0,2,ASPAC Youth,Tainan City,1:43,170274
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 10:30:00,Czechia,Dominican Republic,8,14,10,15,1,1,ASPAC B,Tainan City,2:00,170278
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 14:30:00,Japan,Germany,17,0,12,0,0,5,ASPAC Youth,Tainan City,1:15,170280
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 14:30:00,Panama,United States of America,2,8,1,9,2,0,ASPAC B,Tainan City,1:51,170282
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 18:30:00,Chinese Taipei,Cuba,6,3,9,7,1,2,ASPAC Youth,Tainan City,1:59,170284
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 19:30:00,Korea,South Africa,17,0,10,1,0,5,ASPAC B,Tainan City,1:22,170286
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 10:30:00,United States of America,Czechia,6,0,7,3,1,4,ASPAC Youth,Tainan City,1:25,170287
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 10:30:00,Mexico,Germany,9,1,10,0,1,0,ASPAC B,Tainan City,1:39,170288
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 14:30:00,Panama,South Africa,11,1,7,2,1,6,ASPAC Youth,Tainan City,1:31,170289
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 14:30:00,Japan,Cuba,4,0,6,3,1,1,ASPAC B,Tainan City,1:23,170290
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 18:30:00,Australia,Chinese Taipei,0,13,1,7,1,0,ASPAC Youth,Tainan City,1:40,170291
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 18:30:00,Dominican Republic,Korea,3,8,3,4,3,0,ASPAC B,Tainan City,2:06,170292
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 10:30:00,Cuba,Mexico,0,3,2,6,2,2,ASPAC Youth,Tainan City,1:55,170301
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 10:30:00,South Africa,United States of America,0,26,0,19,1,0,ASPAC B,Tainan City,1:31,170302
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 14:30:00,Korea,Czechia,14,0,11,0,1,3,ASPAC Youth,Tainan City,1:40,170303
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 14:30:00,Panama,Dominican Republic,3,10,4,8,1,0,ASPAC B,Tainan City,1:54,170304
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 18:30:00,Chinese Taipei,Japan,2,7,6,10,1,1,ASPAC Youth,Tainan City,2:09,170306
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 18:30:00,Germany,Australia,2,9,6,4,1,1,ASPAC B,Tainan City,2:13,170308
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-28 10:30:00,Czechia,Panama,0,6,4,7,3,0,ASPAC Youth,Tainan City,1:43,170311
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-28 10:30:00,Dominican Republic,South Africa,25,0,20,0,0,7,ASPAC B,Tainan City,1:32,170313
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-28 18:30:00,Germany,Chinese Taipei,0,17,2,11,2,0,ASPAC Youth,Tainan City,1:26,170319
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-28 18:30:00,United States of America,Korea,2,6,3,4,4,0,ASPAC B,Tainan City,2:12,170321
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-29 10:30:00,Japan,Australia,15,0,12,0,0,2,ASPAC Youth,Tainan City,1:10,170323
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-29 10:30:00,Cuba,Germany,7,1,7,2,0,3,ASPAC B,Tainan City,1:47,170329
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-29 13:30:00,South Africa,Czechia,0,14,1,12,3,0,ASPAC B,Tainan City,1:33,170325
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-29 13:30:00,United States of America,Dominican Republic,7,4,11,5,2,2,ASPAC Youth,Tainan City,2:00,170327
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-29 16:30:00,Chinese Taipei,Mexico,6,5,4,8,1,1,ASPAC Youth,Tainan City,2:24,170331
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-29 16:30:00,Korea,Panama,4,2,2,6,3,2,ASPAC B,Tainan City,1:29,170332
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-30 10:30:00,Mexico,Japan,7,6,6,10,2,2,ASPAC Youth,Tainan City,1:56,170315
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-30 10:30:00,Australia,Cuba,2,19,2,12,3,1,ASPAC B,Tainan City,1:53,170317
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-31 10:30:00,Mexico,United States of America,1,7,3,5,1,0,ASPAC Youth,Tainan City,1:50,170334
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-31 10:30:00,Germany,South Africa,6,3,5,2,2,6,ASPAC B,Tainan City,1:23,170333
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-31 14:30:00,Japan,Korea,4,0,3,1,2,0,ASPAC Youth,Tainan City,1:46,170336
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-31 14:30:00,Czechia,Australia,2,11,3,15,3,2,ASPAC B,Tainan City,1:55,170335
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-31 18:30:00,Dominican Republic,Chinese Taipei,4,9,5,8,2,2,ASPAC Youth,Tainan City,2:11,170338
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-31 18:30:00,Cuba,Panama,8,2,7,5,1,0,ASPAC B,Tainan City,1:28,170337
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-01 10:30:00,Panama,Germany,0,0,0,0,0,0,ASPAC Youth,Tainan City,,170339
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-01 10:30:00,Australia,South Africa,0,0,0,0,0,0,ASPAC B,Tainan City,,170341
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-01 14:30:00,Japan,Dominican Republic,10,6,8,8,1,6,ASPAC Youth,Tainan City,1:58,170340
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-01 14:30:00,Cuba,Czechia,8,0,8,2,0,3,ASPAC B,Tainan City,1:33,170343
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-01 18:30:00,United States of America,Chinese Taipei,6,5,8,4,2,2,ASPAC Youth,Tainan City,2:06,170342
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-01 18:30:00,Korea,Mexico,9,1,8,3,1,0,ASPAC B,Tainan City,2:09,170344
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-02 18:15:00,Korea,Chinese Taipei,5,11,7,11,2,3,ASPAC Youth,Tainan City,3:14,170352
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-02 18:30:00,Japan,United States of America,0,8,3,14,1,0,ASPAC Youth,Tainan City,1:45,170346
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-03 10:00:00,Chinese Taipei,Korea,0,2,5,6,0,0,ASPAC Youth,Tainan City,1:37,170353
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-03 10:00:00,United States of America,Japan,7,1,10,3,2,0,ASPAC B,Tainan City,1:33,170354
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-03 12:15:00,Czechia,Germany,12,2,7,3,1,3,ASPAC Youth,Tainan City,1:42,170345
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-03 12:15:00,Panama,Australia,13,3,11,3,2,4,ASPAC B,Tainan City,undefined,170351
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-03 14:45:00,Cuba,South Africa,20,0,14,0,0,7,ASPAC B,Tainan City,1:09,170347
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-08-03 14:45:00,Mexico,Dominican Republic,4,9,6,10,3,0,ASPAC Youth,Tainan City,2:02,170349
Carnext Samurai Japan Series 2024 Japan vs Team Europe,2024-03-06 19:00:00,Japan,Team Europe,5,0,0,0,0,0,Kyocera Dome Osaka,"Chiyozaki, Nishi Ward",0,132278
Carnext Samurai Japan Series 2024 Japan vs Team Europe,2024-03-07 19:00:00,Team Europe,Japan,0,2,0,0,0,0,Kyocera Dome Osaka,"Chiyozaki, Nishi Ward",0,132279
WBSC U-15 Baseball World Cup 2024,2024-08-16 10:30:00,Mexico,South Africa,13,1,7,4,1,5,Edgar Renteria Baseball Stadium,Barranquilla,1:47,145002
WBSC U-15 Baseball World Cup 2024,2024-08-16 10:30:00,Chinese Taipei,Netherlands,11,1,9,4,0,5,Estadio Once de Noviembre,Cartagena de Indias,2:12,145003
WBSC U-15 Baseball World Cup 2024,2024-08-16 15:00:00,Puerto Rico,Guam,24,0,12,0,0,3,Edgar Renteria Baseball Stadium,Barranquilla,2:18,145004
WBSC U-15 Baseball World Cup 2024,2024-08-16 15:00:00,Venezuela,Nicaragua,2,4,3,6,1,2,Estadio Once de Noviembre,Cartagena de Indias,2:27,145005
WBSC U-15 Baseball World Cup 2024,2024-08-16 19:00:00,Japan,Dominican Republic,12,9,8,9,2,6,Edgar Renteria Baseball Stadium,Barranquilla,3:01,145006
WBSC U-15 Baseball World Cup 2024,2024-08-16 19:00:00,Italy,Colombia,4,11,7,8,3,3,Estadio Once de Noviembre,Cartagena de Indias,3:32,145007
WBSC U-15 Baseball World Cup 2024,2024-08-17 10:30:00,Guam,Dominican Republic,1,38,0,21,5,1,Edgar Renteria Baseball Stadium,Barranquilla,2:26,145008
WBSC U-15 Baseball World Cup 2024,2024-08-17 15:00:00,Italy,Japan,3,8,4,7,4,0,Edgar Renteria Baseball Stadium,Barranquilla,2:55,145010
WBSC U-15 Baseball World Cup 2024,2024-08-17 15:00:00,Chinese Taipei,Venezuela,6,1,7,8,1,2,Estadio Once de Noviembre,Cartagena de Indias,2:37,145011
WBSC U-15 Baseball World Cup 2024,2024-08-17 19:00:00,Puerto Rico,Colombia,7,6,8,5,1,1,Edgar Renteria Baseball Stadium,Barranquilla,2:48,145012
WBSC U-15 Baseball World Cup 2024,2024-08-17 19:00:00,Mexico,Netherlands,2,3,3,4,0,0,Estadio Once de Noviembre,Cartagena de Indias,2:13,145013
WBSC U-15 Baseball World Cup 2024,2024-08-18 10:30:00,Guam,Italy,1,13,1,11,4,0,Edgar Renteria Baseball Stadium,Barranquilla,2:04,145014
WBSC U-15 Baseball World Cup 2024,2024-08-18 10:30:00,Venezuela,South Africa,10,0,7,4,1,3,Estadio Once de Noviembre,Cartagena de Indias,1:41,145015
WBSC U-15 Baseball World Cup 2024,2024-08-18 13:30:00,South Africa,Nicaragua,1,21,3,20,5,0,Estadio Once de Noviembre,Cartagena de Indias,2:02,145009
WBSC U-15 Baseball World Cup 2024,2024-08-18 15:00:00,Dominican Republic,Puerto Rico,4,10,9,13,2,1,Edgar Renteria Baseball Stadium,Barranquilla,2:35,145016
WBSC U-15 Baseball World Cup 2024,2024-08-18 15:00:00,Nicaragua,Netherlands,3,2,3,5,0,2,Estadio Once de Noviembre,Cartagena de Indias,2:09,145017
WBSC U-15 Baseball World Cup 2024,2024-08-18 19:00:00,Colombia,Japan,3,14,5,12,2,0,Edgar Renteria Baseball Stadium,Barranquilla,2:22,145018
WBSC U-15 Baseball World Cup 2024,2024-08-18 19:00:00,Chinese Taipei,Mexico,1,5,3,7,2,2,Estadio Once de Noviembre,Cartagena de Indias,2:05,145019
WBSC U-15 Baseball World Cup 2024,2024-08-19 10:30:00,Puerto Rico,Italy,11,4,12,7,1,0,Edgar Renteria Baseball Stadium,Barranquilla,2:52,145020
WBSC U-15 Baseball World Cup 2024,2024-08-19 10:30:00,Netherlands,Venezuela,1,11,6,15,4,0,Estadio Once de Noviembre,Cartagena de Indias,2:39,145021
WBSC U-15 Baseball World Cup 2024,2024-08-19 15:00:00,Japan,Guam,14,0,8,0,1,1,Edgar Renteria Baseball Stadium,Barranquilla,1:30,145022
WBSC U-15 Baseball World Cup 2024,2024-08-19 15:00:00,South Africa,Chinese Taipei,0,18,1,13,7,0,Estadio Once de Noviembre,Cartagena de Indias,1:33,145023
WBSC U-15 Baseball World Cup 2024,2024-08-19 19:00:00,Colombia,Dominican Republic,2,1,3,1,0,2,Edgar Renteria Baseball Stadium,Barranquilla,1:56,145024
WBSC U-15 Baseball World Cup 2024,2024-08-19 19:00:00,Mexico,Nicaragua,1,7,7,8,3,1,Estadio Once de Noviembre,Cartagena de Indias,2:45,145025
WBSC U-15 Baseball World Cup 2024,2024-08-20 10:30:00,Japan,Puerto Rico,4,2,5,6,0,2,Edgar Renteria Baseball Stadium,Barranquilla,1:41,145026
WBSC U-15 Baseball World Cup 2024,2024-08-20 10:30:00,Netherlands,South Africa,13,5,11,5,2,5,Estadio Once de Noviembre,Cartagena de Indias,2:19,145027
WBSC U-15 Baseball World Cup 2024,2024-08-20 15:00:00,Dominican Republic,Italy,9,4,5,6,0,3,Edgar Renteria Baseball Stadium,Barranquilla,2:09,145028
WBSC U-15 Baseball World Cup 2024,2024-08-20 15:00:00,Nicaragua,Chinese Taipei,0,12,0,10,1,0,Estadio Once de Noviembre,Cartagena de Indias,2:18,145029
WBSC U-15 Baseball World Cup 2024,2024-08-20 19:00:00,Colombia,Guam,14,1,9,0,0,4,Edgar Renteria Baseball Stadium,Barranquilla,1:35,145030
WBSC U-15 Baseball World Cup 2024,2024-08-20 19:00:00,Venezuela,Mexico,3,6,4,5,3,1,Estadio Once de Noviembre,Cartagena de Indias,2:27,145031
WBSC U-15 Baseball World Cup 2024,2024-08-22 10:30:00,Nicaragua,Puerto Rico,1,3,5,4,5,0,Edgar Renteria Baseball Stadium,Barranquilla,2:07,145034
WBSC U-15 Baseball World Cup 2024,2024-08-22 10:30:00,South Africa,Guam,9,8,6,5,4,2,Estadio Once de Noviembre,Cartagena de Indias,2:40,145033
WBSC U-15 Baseball World Cup 2024,2024-08-22 15:00:00,Japan,Chinese Taipei,5,6,11,7,2,6,Edgar Renteria Baseball Stadium,Barranquilla,2:31,145036
WBSC U-15 Baseball World Cup 2024,2024-08-22 15:00:00,Italy,Netherlands,8,4,8,5,1,1,Estadio Once de Noviembre,Cartagena de Indias,2:40,145035
WBSC U-15 Baseball World Cup 2024,2024-08-22 19:00:00,Colombia,Mexico,6,2,7,4,1,5,Edgar Renteria Baseball Stadium,Barranquilla,2:04,145032
WBSC U-15 Baseball World Cup 2024,2024-08-22 19:00:00,Venezuela,Dominican Republic,4,5,6,5,2,2,Estadio Once de Noviembre,Cartagena de Indias,2:31,145037
WBSC U-15 Baseball World Cup 2024,2024-08-23 10:30:00,Chinese Taipei,Puerto Rico,2,8,6,8,1,1,Edgar Renteria Baseball Stadium,Barranquilla,2:11,145040
WBSC U-15 Baseball World Cup 2024,2024-08-23 10:30:00,Italy,South Africa,14,4,11,3,2,4,Estadio Once de Noviembre,Cartagena de Indias,1:53,145039
WBSC U-15 Baseball World Cup 2024,2024-08-23 15:00:00,Japan,Mexico,6,1,9,4,1,2,Edgar Renteria Baseball Stadium,Barranquilla,1:28,145042
WBSC U-15 Baseball World Cup 2024,2024-08-23 15:00:00,Venezuela,Guam,19,3,16,3,0,4,Estadio Once de Noviembre,Cartagena de Indias,1:57,145041
WBSC U-15 Baseball World Cup 2024,2024-08-23 19:00:00,Nicaragua,Colombia,6,2,5,3,2,1,Edgar Renteria Baseball Stadium,Barranquilla,2:06,145038
WBSC U-15 Baseball World Cup 2024,2024-08-23 19:00:00,Dominican Republic,Netherlands,5,4,3,3,4,2,Estadio Once de Noviembre,Cartagena de Indias,2:08,145043
WBSC U-15 Baseball World Cup 2024,2024-08-24 10:30:00,Puerto Rico,Mexico,11,7,9,8,2,2,Edgar Renteria Baseball Stadium,Barranquilla,2:41,145046
WBSC U-15 Baseball World Cup 2024,2024-08-24 10:30:00,Venezuela,Italy,10,9,8,11,5,2,Estadio Once de Noviembre,Cartagena de Indias,3:10,145049
WBSC U-15 Baseball World Cup 2024,2024-08-24 15:00:00,Japan,Nicaragua,7,2,8,3,0,1,Edgar Renteria Baseball Stadium,Barranquilla,2:08,145048
WBSC U-15 Baseball World Cup 2024,2024-08-24 15:00:00,Dominican Republic,South Africa,16,2,6,2,0,4,Estadio Once de Noviembre,Cartagena de Indias,1:50,145047
WBSC U-15 Baseball World Cup 2024,2024-08-24 19:00:00,Netherlands,Guam,10,0,12,3,1,3,Estadio Once de Noviembre,Cartagena de Indias,1:37,145045
WBSC U-15 Baseball World Cup 2024,2024-08-24 19:30:00,Chinese Taipei,Colombia,4,0,6,2,0,1,Edgar Renteria Baseball Stadium,Barranquilla,2:21,145044
WBSC U-15 Baseball World Cup 2024,2024-08-25 14:00:00,Chinese Taipei,Nicaragua,7,6,10,10,1,4,Edgar Renteria Baseball Stadium,Barranquilla,2:33,145050
WBSC U-15 Baseball World Cup 2024,2024-08-25 19:00:00,Japan,Puerto Rico,7,6,9,3,2,2,Edgar Renteria Baseball Stadium,Barranquilla,2:23,145051
WBSC U-23 Baseball World Cup 2024,2024-09-06 10:00:00,Nicaragua,South Africa,8,1,8,5,0,1,Shaoxing Baseball and Softball Sports Culture Center | Field 2,Shaoxing City,2:03,146551
WBSC U-23 Baseball World Cup 2024,2024-09-06 10:00:00,Colombia,Australia,2,4,6,6,2,0,Shaoxing Baseball and Softball Sports Culture Center | Field 1,Shaoxing City,2:20,146552
WBSC U-23 Baseball World Cup 2024,2024-09-06 14:30:00,Venezuela,Netherlands,10,9,7,11,1,1,Shaoxing Baseball and Softball Sports Culture Center | Field 2,Shaoxing City,2:39,146553
WBSC U-23 Baseball World Cup 2024,2024-09-06 14:30:00,Chinese Taipei,South Korea,1,3,6,4,1,0,Shaoxing Baseball and Softball Sports Culture Center | Field 1,Shaoxing City,2:18,146554
